city_st,place_name,state_name,state_abbrev,population,state_fips,place_fips,NAME,place_name_raw
"Alabaster, AL",Alabaster,Alabama,AL,33633,01,00820,"Alabaster city, Alabama",Alabaster city
"Albertville, AL",Albertville,Alabama,AL,22584,01,00988,"Albertville city, Alabama",Albertville city
"Anniston, AL",Anniston,Alabama,AL,21377,01,01852,"Anniston city, Alabama",Anniston city
"Athens, AL",Athens,Alabama,AL,27474,01,02956,"Athens city, Alabama",Athens city
"Auburn, AL",Auburn,Alabama,AL,78738,01,03076,"Auburn city, Alabama",Auburn city
"Bessemer, AL",Bessemer,Alabama,AL,25655,01,05980,"Bessemer city, Alabama",Bessemer city
"Birmingham, AL",Birmingham,Alabama,AL,199322,01,07000,"Birmingham city, Alabama",Birmingham city
"Daphne, AL",Daphne,Alabama,AL,28673,01,19648,"Daphne city, Alabama",Daphne city
"Decatur, AL",Decatur,Alabama,AL,57760,01,20104,"Decatur city, Alabama",Decatur city
"Dothan, AL",Dothan,Alabama,AL,71118,01,21184,"Dothan city, Alabama",Dothan city
"Enterprise, AL",Enterprise,Alabama,AL,28990,01,24184,"Enterprise city, Alabama",Enterprise city
"Fairhope, AL",Fairhope,Alabama,AL,23360,01,25240,"Fairhope city, Alabama",Fairhope city
"Florence, AL",Florence,Alabama,AL,41231,01,26896,"Florence city, Alabama",Florence city
"Foley, AL",Foley,Alabama,AL,22330,01,26992,"Foley city, Alabama",Foley city
"Gadsden, AL",Gadsden,Alabama,AL,33617,01,28696,"Gadsden city, Alabama",Gadsden city
"Helena, AL",Helena,Alabama,AL,21452,01,34024,"Helena city, Alabama",Helena city
"Homewood, AL",Homewood,Alabama,AL,27697,01,35800,"Homewood city, Alabama",Homewood city
"Hoover, AL",Hoover,Alabama,AL,92401,01,35896,"Hoover city, Alabama",Hoover city
"Huntsville, AL",Huntsville,Alabama,AL,218814,01,37000,"Huntsville city, Alabama",Huntsville city
"Madison, AL",Madison,Alabama,AL,58335,01,45784,"Madison city, Alabama",Madison city
"Mobile, AL",Mobile,Alabama,AL,185097,01,50000,"Mobile city, Alabama",Mobile city
"Montgomery, AL",Montgomery,Alabama,AL,198440,01,51000,"Montgomery city, Alabama",Montgomery city
"Mountain Brook, AL",Mountain Brook,Alabama,AL,22160,01,51696,"Mountain Brook city, Alabama",Mountain Brook city
"Northport, AL",Northport,Alabama,AL,30991,01,55200,"Northport city, Alabama",Northport city
"Opelika, AL",Opelika,Alabama,AL,31944,01,57048,"Opelika city, Alabama",Opelika city
"Oxford, AL",Oxford,Alabama,AL,22063,01,57576,"Oxford city, Alabama",Oxford city
"Pelham, AL",Pelham,Alabama,AL,24510,01,58848,"Pelham city, Alabama",Pelham city
"Phenix, AL",Phenix,Alabama,AL,38477,01,59472,"Phenix City city, Alabama",Phenix City city
"Prattville, AL",Prattville,Alabama,AL,38850,01,62328,"Prattville city, Alabama",Prattville city
"Trussville, AL",Trussville,Alabama,AL,26182,01,76944,"Trussville city, Alabama",Trussville city
"Tuscaloosa, AL",Tuscaloosa,Alabama,AL,107699,01,77256,"Tuscaloosa city, Alabama",Tuscaloosa city
"Vestavia Hills, AL",Vestavia Hills,Alabama,AL,38704,01,78552,"Vestavia Hills city, Alabama",Vestavia Hills city
"Anchorage municipality, AK",Anchorage municipality,Alaska,AK,289069,02,03000,"Anchorage municipality, Alaska",Anchorage municipality
"Fairbanks, AK",Fairbanks,Alaska,AK,32242,02,24230,"Fairbanks city, Alaska",Fairbanks city
"Juneau and, AK",Juneau and,Alaska,AK,31969,02,36400,"Juneau city and borough, Alaska",Juneau city and borough
"Anthem, AZ",Anthem,Arizona,AZ,22622,04,02430,"Anthem CDP, Arizona",Anthem CDP
"Apache Junction, AZ",Apache Junction,Arizona,AZ,39746,04,02830,"Apache Junction city, Arizona",Apache Junction city
"Avondale, AZ",Avondale,Arizona,AZ,90644,04,04720,"Avondale city, Arizona",Avondale city
"Buckeye, AZ",Buckeye,Arizona,AZ,99844,04,07940,"Buckeye city, Arizona",Buckeye city
"Bullhead, AZ",Bullhead,Arizona,AZ,42193,04,08220,"Bullhead City city, Arizona",Bullhead City city
"Casa Grande, AZ",Casa Grande,Arizona,AZ,57590,04,10530,"Casa Grande city, Arizona",Casa Grande city
"Casas Adobes, AZ",Casas Adobes,Arizona,AZ,70770,04,10670,"Casas Adobes CDP, Arizona",Casas Adobes CDP
"Catalina Foothills, AZ",Catalina Foothills,Arizona,AZ,51756,04,11230,"Catalina Foothills CDP, Arizona",Catalina Foothills CDP
"Chandler, AZ",Chandler,Arizona,AZ,278123,04,12000,"Chandler city, Arizona",Chandler city
"Drexel Heights, AZ",Drexel Heights,Arizona,AZ,27636,04,20540,"Drexel Heights CDP, Arizona",Drexel Heights CDP
"El Mirage, AZ",El Mirage,Arizona,AZ,35823,04,22220,"El Mirage city, Arizona",El Mirage city
"Flagstaff, AZ",Flagstaff,Arizona,AZ,76333,04,23620,"Flagstaff city, Arizona",Flagstaff city
"Florence, AZ",Florence,Arizona,AZ,25961,04,23760,"Florence town, Arizona",Florence town
"Fortuna Foothills, AZ",Fortuna Foothills,Arizona,AZ,28227,04,25030,"Fortuna Foothills CDP, Arizona",Fortuna Foothills CDP
"Fountain Hills, AZ",Fountain Hills,Arizona,AZ,23768,04,25300,"Fountain Hills town, Arizona",Fountain Hills town
"Gilbert, AZ",Gilbert,Arizona,AZ,271118,04,27400,"Gilbert town, Arizona",Gilbert town
"Glendale, AZ",Glendale,Arizona,AZ,250193,04,27820,"Glendale city, Arizona",Glendale city
"Goodyear, AZ",Goodyear,Arizona,AZ,102891,04,28380,"Goodyear city, Arizona",Goodyear city
"Green Valley, AZ",Green Valley,Arizona,AZ,21581,04,29710,"Green Valley CDP, Arizona",Green Valley CDP
"Kingman, AZ",Kingman,Arizona,AZ,33850,04,37620,"Kingman city, Arizona",Kingman city
"Lake Havasu, AZ",Lake Havasu,Arizona,AZ,58037,04,39370,"Lake Havasu City city, Arizona",Lake Havasu City city
"Marana, AZ",Marana,Arizona,AZ,54487,04,44270,"Marana town, Arizona",Marana town
"Maricopa, AZ",Maricopa,Arizona,AZ,62986,04,44410,"Maricopa city, Arizona",Maricopa city
"Mesa, AZ",Mesa,Arizona,AZ,507478,04,46000,"Mesa city, Arizona",Mesa city
"Oro Valley, AZ",Oro Valley,Arizona,AZ,47595,04,51600,"Oro Valley town, Arizona",Oro Valley town
"Peoria, AZ",Peoria,Arizona,AZ,194338,04,54050,"Peoria city, Arizona",Peoria city
"Phoenix, AZ",Phoenix,Arizona,AZ,1624832,04,55000,"Phoenix city, Arizona",Phoenix city
"Prescott, AZ",Prescott,Arizona,AZ,46744,04,57380,"Prescott city, Arizona",Prescott city
"Prescott Valley, AZ",Prescott Valley,Arizona,AZ,48048,04,57450,"Prescott Valley town, Arizona",Prescott Valley town
"Queen Creek, AZ",Queen Creek,Arizona,AZ,66369,04,58150,"Queen Creek town, Arizona",Queen Creek town
"Rio Rico, AZ",Rio Rico,Arizona,AZ,21798,04,60180,"Rio Rico CDP, Arizona",Rio Rico CDP
"Sahuarita, AZ",Sahuarita,Arizona,AZ,35012,04,62140,"Sahuarita town, Arizona",Sahuarita town
"San Luis, AZ",San Luis,Arizona,AZ,35998,04,63470,"San Luis city, Arizona",San Luis city
"San Tan Valley, AZ",San Tan Valley,Arizona,AZ,105231,04,64210,"San Tan Valley CDP, Arizona",San Tan Valley CDP
"Scottsdale, AZ",Scottsdale,Arizona,AZ,242169,04,65000,"Scottsdale city, Arizona",Scottsdale city
"Sierra Vista, AZ",Sierra Vista,Arizona,AZ,45203,04,66820,"Sierra Vista city, Arizona",Sierra Vista city
"Sun, AZ",Sun,Arizona,AZ,38018,04,70320,"Sun City CDP, Arizona",Sun City CDP
"Sun West, AZ",Sun West,Arizona,AZ,27003,04,70355,"Sun City West CDP, Arizona",Sun City West CDP
"Surprise, AZ",Surprise,Arizona,AZ,149519,04,71510,"Surprise city, Arizona",Surprise city
"Tempe, AZ",Tempe,Arizona,AZ,186419,04,73000,"Tempe city, Arizona",Tempe city
"Tucson, AZ",Tucson,Arizona,AZ,543348,04,77000,"Tucson city, Arizona",Tucson city
"Yuma, AZ",Yuma,Arizona,AZ,98461,04,85540,"Yuma city, Arizona",Yuma city
"Bella Vista, AR",Bella Vista,Arkansas,AR,30935,05,04840,"Bella Vista city, Arkansas",Bella Vista city
"Benton, AR",Benton,Arkansas,AR,35954,05,05290,"Benton city, Arkansas",Benton city
"Bentonville, AR",Bentonville,Arkansas,AR,56326,05,05320,"Bentonville city, Arkansas",Bentonville city
"Bryant, AR",Bryant,Arkansas,AR,21125,05,09460,"Bryant city, Arkansas",Bryant city
"Cabot, AR",Cabot,Arkansas,AR,26733,05,10300,"Cabot city, Arkansas",Cabot city
"Centerton, AR",Centerton,Arkansas,AR,20212,05,12820,"Centerton city, Arkansas",Centerton city
"Conway, AR",Conway,Arkansas,AR,66288,05,15190,"Conway city, Arkansas",Conway city
"Fayetteville, AR",Fayetteville,Arkansas,AR,97227,05,23290,"Fayetteville city, Arkansas",Fayetteville city
"Fort Smith, AR",Fort Smith,Arkansas,AR,89496,05,24550,"Fort Smith city, Arkansas",Fort Smith city
"Hot Springs, AR",Hot Springs,Arkansas,AR,38023,05,33400,"Hot Springs city, Arkansas",Hot Springs city
"Jacksonville, AR",Jacksonville,Arkansas,AR,29285,05,34750,"Jacksonville city, Arkansas",Jacksonville city
"Jonesboro, AR",Jonesboro,Arkansas,AR,79187,05,35710,"Jonesboro city, Arkansas",Jonesboro city
"Little Rock, AR",Little Rock,Arkansas,AR,202739,05,41000,"Little Rock city, Arkansas",Little Rock city
"North Little Rock, AR",North Little Rock,Arkansas,AR,64504,05,50450,"North Little Rock city, Arkansas",North Little Rock city
"Paragould, AR",Paragould,Arkansas,AR,29940,05,53390,"Paragould city, Arkansas",Paragould city
"Pine Bluff, AR",Pine Bluff,Arkansas,AR,40436,05,55310,"Pine Bluff city, Arkansas",Pine Bluff city
"Rogers, AR",Rogers,Arkansas,AR,71411,05,60410,"Rogers city, Arkansas",Rogers city
"Russellville, AR",Russellville,Arkansas,AR,29057,05,61670,"Russellville city, Arkansas",Russellville city
"Searcy, AR",Searcy,Arkansas,AR,23115,05,63020,"Searcy city, Arkansas",Searcy city
"Sherwood, AR",Sherwood,Arkansas,AR,32915,05,63800,"Sherwood city, Arkansas",Sherwood city
"Springdale, AR",Springdale,Arkansas,AR,87388,05,66080,"Springdale city, Arkansas",Springdale city
"Texarkana, AR",Texarkana,Arkansas,AR,29343,05,68810,"Texarkana city, Arkansas",Texarkana city
"Van Buren, AR",Van Buren,Arkansas,AR,23545,05,71480,"Van Buren city, Arkansas",Van Buren city
"West Memphis, AR",West Memphis,Arkansas,AR,24147,05,74540,"West Memphis city, Arkansas",West Memphis city
"Adelanto, CA",Adelanto,California,CA,38010,06,00296,"Adelanto city, California",Adelanto city
"Alameda, CA",Alameda,California,CA,76876,06,00562,"Alameda city, California",Alameda city
"Alhambra, CA",Alhambra,California,CA,81483,06,00884,"Alhambra city, California",Alhambra city
"Aliso Viejo, CA",Aliso Viejo,California,CA,51320,06,00947,"Aliso Viejo city, California",Aliso Viejo city
"Altadena, CA",Altadena,California,CA,41921,06,01290,"Altadena CDP, California",Altadena CDP
"American Canyon, CA",American Canyon,California,CA,21698,06,01640,"American Canyon city, California",American Canyon city
"Anaheim, CA",Anaheim,California,CA,344553,06,02000,"Anaheim city, California",Anaheim city
"Antelope, CA",Antelope,California,CA,49080,06,02210,"Antelope CDP, California",Antelope CDP
"Antioch, CA",Antioch,California,CA,115759,06,02252,"Antioch city, California",Antioch city
"Apple Valley, CA",Apple Valley,California,CA,75478,06,02364,"Apple Valley town, California",Apple Valley town
"Arcadia, CA",Arcadia,California,CA,55550,06,02462,"Arcadia city, California",Arcadia city
"Arden-Arcade, CA",Arden-Arcade,California,CA,96319,06,02553,"Arden-Arcade CDP, California",Arden-Arcade CDP
"Ashland, CA",Ashland,California,CA,22784,06,02980,"Ashland CDP, California",Ashland CDP
"Atascadero, CA",Atascadero,California,CA,29735,06,03064,"Atascadero city, California",Atascadero city
"Atwater, CA",Atwater,California,CA,32013,06,03162,"Atwater city, California",Atwater city
"Azusa, CA",Azusa,California,CA,49318,06,03386,"Azusa city, California",Azusa city
"Bakersfield, CA",Bakersfield,California,CA,408366,06,03526,"Bakersfield city, California",Bakersfield city
"Baldwin Park, CA",Baldwin Park,California,CA,70720,06,03666,"Baldwin Park city, California",Baldwin Park city
"Banning, CA",Banning,California,CA,30680,06,03820,"Banning city, California",Banning city
"Barstow, CA",Barstow,California,CA,25198,06,04030,"Barstow city, California",Barstow city
"Bay Point, CA",Bay Point,California,CA,24065,06,04415,"Bay Point CDP, California",Bay Point CDP
"Beaumont, CA",Beaumont,California,CA,54817,06,04758,"Beaumont city, California",Beaumont city
"Bell, CA",Bell,California,CA,32830,06,04870,"Bell city, California",Bell city
"Bellflower, CA",Bellflower,California,CA,77396,06,04982,"Bellflower city, California",Bellflower city
"Bell Gardens, CA",Bell Gardens,California,CA,38661,06,04996,"Bell Gardens city, California",Bell Gardens city
"Belmont, CA",Belmont,California,CA,27505,06,05108,"Belmont city, California",Belmont city
"Benicia, CA",Benicia,California,CA,26861,06,05290,"Benicia city, California",Benicia city
"Berkeley, CA",Berkeley,California,CA,120223,06,06000,"Berkeley city, California",Berkeley city
"Beverly Hills, CA",Beverly Hills,California,CA,31955,06,06308,"Beverly Hills city, California",Beverly Hills city
"Bloomington, CA",Bloomington,California,CA,24324,06,07064,"Bloomington CDP, California",Bloomington CDP
"Brawley, CA",Brawley,California,CA,26934,06,08058,"Brawley city, California",Brawley city
"Brea, CA",Brea,California,CA,47337,06,08100,"Brea city, California",Brea city
"Brentwood, CA",Brentwood,California,CA,64609,06,08142,"Brentwood city, California",Brentwood city
"Buena Park, CA",Buena Park,California,CA,83052,06,08786,"Buena Park city, California",Buena Park city
"Burbank, CA",Burbank,California,CA,105165,06,08954,"Burbank city, California",Burbank city
"Burlingame, CA",Burlingame,California,CA,30526,06,09066,"Burlingame city, California",Burlingame city
"Calabasas, CA",Calabasas,California,CA,22869,06,09598,"Calabasas city, California",Calabasas city
"Calexico, CA",Calexico,California,CA,38476,06,09710,"Calexico city, California",Calexico city
"Camarillo, CA",Camarillo,California,CA,70244,06,10046,"Camarillo city, California",Camarillo city
"Campbell, CA",Campbell,California,CA,42848,06,10345,"Campbell city, California",Campbell city
"Carlsbad, CA",Carlsbad,California,CA,114500,06,11194,"Carlsbad city, California",Carlsbad city
"Carmichael, CA",Carmichael,California,CA,78070,06,11390,"Carmichael CDP, California",Carmichael CDP
"Carson, CA",Carson,California,CA,93523,06,11530,"Carson city, California",Carson city
"Castro Valley, CA",Castro Valley,California,CA,65389,06,11964,"Castro Valley CDP, California",Castro Valley CDP
"Cathedral, CA",Cathedral,California,CA,52047,06,12048,"Cathedral City city, California",Cathedral City city
"Ceres, CA",Ceres,California,CA,48918,06,12524,"Ceres city, California",Ceres city
"Cerritos, CA",Cerritos,California,CA,48340,06,12552,"Cerritos city, California",Cerritos city
"Chico, CA",Chico,California,CA,102032,06,13014,"Chico city, California",Chico city
"Chino, CA",Chino,California,CA,91775,06,13210,"Chino city, California",Chino city
"Chino Hills, CA",Chino Hills,California,CA,78024,06,13214,"Chino Hills city, California",Chino Hills city
"Chula Vista, CA",Chula Vista,California,CA,275030,06,13392,"Chula Vista city, California",Chula Vista city
"Citrus Heights, CA",Citrus Heights,California,CA,87036,06,13588,"Citrus Heights city, California",Citrus Heights city
"Claremont, CA",Claremont,California,CA,36553,06,13756,"Claremont city, California",Claremont city
"Clovis, CA",Clovis,California,CA,122719,06,14218,"Clovis city, California",Clovis city
"Coachella, CA",Coachella,California,CA,42594,06,14260,"Coachella city, California",Coachella city
"Colton, CA",Colton,California,CA,53798,06,14890,"Colton city, California",Colton city
"Compton, CA",Compton,California,CA,93525,06,15044,"Compton city, California",Compton city
"Concord, CA",Concord,California,CA,124260,06,16000,"Concord city, California",Concord city
"Corcoran, CA",Corcoran,California,CA,22626,06,16224,"Corcoran city, California",Corcoran city
"Corona, CA",Corona,California,CA,158839,06,16350,"Corona city, California",Corona city
"Costa Mesa, CA",Costa Mesa,California,CA,110538,06,16532,"Costa Mesa city, California",Costa Mesa city
"Covina, CA",Covina,California,CA,50143,06,16742,"Covina city, California",Covina city
"Cudahy, CA",Cudahy,California,CA,22325,06,17498,"Cudahy city, California",Cudahy city
"Culver, CA",Culver,California,CA,39993,06,17568,"Culver City city, California",Culver City city
"Cupertino, CA",Cupertino,California,CA,58886,06,17610,"Cupertino city, California",Cupertino city
"Cypress, CA",Cypress,California,CA,49531,06,17750,"Cypress city, California",Cypress city
"Daly, CA",Daly,California,CA,102560,06,17918,"Daly City city, California",Daly City city
"Dana Point, CA",Dana Point,California,CA,32883,06,17946,"Dana Point city, California",Dana Point city
"Danville, CA",Danville,California,CA,43426,06,17988,"Danville town, California",Danville town
"Davis, CA",Davis,California,CA,66801,06,18100,"Davis city, California",Davis city
"Delano, CA",Delano,California,CA,50835,06,18394,"Delano city, California",Delano city
"Desert Hot Springs, CA",Desert Hot Springs,California,CA,32786,06,18996,"Desert Hot Springs city, California",Desert Hot Springs city
"Diamond Bar, CA",Diamond Bar,California,CA,53750,06,19192,"Diamond Bar city, California",Diamond Bar city
"Dinuba, CA",Dinuba,California,CA,25201,06,19318,"Dinuba city, California",Dinuba city
"Downey, CA",Downey,California,CA,111793,06,19766,"Downey city, California",Downey city
"Duarte, CA",Duarte,California,CA,21921,06,19990,"Duarte city, California",Duarte city
"Dublin, CA",Dublin,California,CA,70542,06,20018,"Dublin city, California",Dublin city
"Eastern Goleta Valley, CA",Eastern Goleta Valley,California,CA,29411,06,20574,"Eastern Goleta Valley CDP, California",Eastern Goleta Valley CDP
"East Hemet, CA",East Hemet,California,CA,20292,06,20697,"East Hemet CDP, California",East Hemet CDP
"East Los Angeles, CA",East Los Angeles,California,CA,114617,06,20802,"East Los Angeles CDP, California",East Los Angeles CDP
"East Niles, CA",East Niles,California,CA,28586,06,20903,"East Niles CDP, California",East Niles CDP
"East Palo Alto, CA",East Palo Alto,California,CA,29143,06,20956,"East Palo Alto city, California",East Palo Alto city
"East San Gabriel, CA",East San Gabriel,California,CA,23521,06,21096,"East San Gabriel CDP, California",East San Gabriel CDP
"Eastvale, CA",Eastvale,California,CA,70179,06,21230,"Eastvale city, California",Eastvale city
"El Cajon, CA",El Cajon,California,CA,104909,06,21712,"El Cajon city, California",El Cajon city
"El Centro, CA",El Centro,California,CA,44186,06,21782,"El Centro city, California",El Centro city
"El Cerrito, CA",El Cerrito,California,CA,25781,06,21796,"El Cerrito city, California",El Cerrito city
"El Dorado Hills, CA",El Dorado Hills,California,CA,50553,06,21880,"El Dorado Hills CDP, California",El Dorado Hills CDP
"Elk Grove, CA",Elk Grove,California,CA,177221,06,22020,"Elk Grove city, California",Elk Grove city
"El Monte, CA",El Monte,California,CA,107066,06,22230,"El Monte city, California",El Monte city
"El Paso de Robles (Paso Robles), CA",El Paso de Robles (Paso Robles),California,CA,31399,06,22300,"El Paso de Robles (Paso Robles) city, California",El Paso de Robles (Paso Robles) city
"Encinitas, CA",Encinitas,California,CA,61585,06,22678,"Encinitas city, California",Encinitas city
"Escondido, CA",Escondido,California,CA,149913,06,22804,"Escondido city, California",Escondido city
"Eureka, CA",Eureka,California,CA,26302,06,23042,"Eureka city, California",Eureka city
"Fairfield, CA",Fairfield,California,CA,119985,06,23182,"Fairfield city, California",Fairfield city
"Fair Oaks, CA",Fair Oaks,California,CA,32030,06,23294,"Fair Oaks CDP, California",Fair Oaks CDP
"Fallbrook, CA",Fallbrook,California,CA,32467,06,23462,"Fallbrook CDP, California",Fallbrook CDP
"Florence-Graham, CA",Florence-Graham,California,CA,61723,06,24477,"Florence-Graham CDP, California",Florence-Graham CDP
"Florin, CA",Florin,California,CA,49536,06,24498,"Florin CDP, California",Florin CDP
"Folsom, CA",Folsom,California,CA,82140,06,24638,"Folsom city, California",Folsom city
"Fontana, CA",Fontana,California,CA,211921,06,24680,"Fontana city, California",Fontana city
"Foothill Farms, CA",Foothill Farms,California,CA,37332,06,24722,"Foothill Farms CDP, California",Foothill Farms CDP
"Foster, CA",Foster,California,CA,32964,06,25338,"Foster City city, California",Foster City city
"Fountain Valley, CA",Fountain Valley,California,CA,56358,06,25380,"Fountain Valley city, California",Fountain Valley city
"Fremont, CA",Fremont,California,CA,228518,06,26000,"Fremont city, California",Fremont city
"French Valley, CA",French Valley,California,CA,42550,06,26067,"French Valley CDP, California",French Valley CDP
"Fresno, CA",Fresno,California,CA,543615,06,27000,"Fresno city, California",Fresno city
"Fullerton, CA",Fullerton,California,CA,141278,06,28000,"Fullerton city, California",Fullerton city
"Galt, CA",Galt,California,CA,25665,06,28112,"Galt city, California",Galt city
"Gardena, CA",Gardena,California,CA,59765,06,28168,"Gardena city, California",Gardena city
"Garden Grove, CA",Garden Grove,California,CA,170603,06,29000,"Garden Grove city, California",Garden Grove city
"Gilroy, CA",Gilroy,California,CA,58561,06,29504,"Gilroy city, California",Gilroy city
"Glendale, CA",Glendale,California,CA,192270,06,30000,"Glendale city, California",Glendale city
"Glendora, CA",Glendora,California,CA,51350,06,30014,"Glendora city, California",Glendora city
"Goleta, CA",Goleta,California,CA,32693,06,30378,"Goleta city, California",Goleta city
"Granite Bay, CA",Granite Bay,California,CA,21378,06,30693,"Granite Bay CDP, California",Granite Bay CDP
"Hacienda Heights, CA",Hacienda Heights,California,CA,54956,06,31596,"Hacienda Heights CDP, California",Hacienda Heights CDP
"Hanford, CA",Hanford,California,CA,59389,06,31960,"Hanford city, California",Hanford city
"Hawthorne, CA",Hawthorne,California,CA,85933,06,32548,"Hawthorne city, California",Hawthorne city
"Hayward, CA",Hayward,California,CA,159201,06,33000,"Hayward city, California",Hayward city
"Hemet, CA",Hemet,California,CA,90646,06,33182,"Hemet city, California",Hemet city
"Hercules, CA",Hercules,California,CA,26245,06,33308,"Hercules city, California",Hercules city
"Hesperia, CA",Hesperia,California,CA,100141,06,33434,"Hesperia city, California",Hesperia city
"Highland, CA",Highland,California,CA,56690,06,33588,"Highland city, California",Highland city
"Hollister, CA",Hollister,California,CA,43003,06,34120,"Hollister city, California",Hollister city
"Huntington Beach, CA",Huntington Beach,California,CA,196010,06,36000,"Huntington Beach city, California",Huntington Beach city
"Huntington Park, CA",Huntington Park,California,CA,53658,06,36056,"Huntington Park city, California",Huntington Park city
"Imperial, CA",Imperial,California,CA,20943,06,36280,"Imperial city, California",Imperial city
"Imperial Beach, CA",Imperial Beach,California,CA,25897,06,36294,"Imperial Beach city, California",Imperial Beach city
"Indio, CA",Indio,California,CA,90669,06,36448,"Indio city, California",Indio city
"Inglewood, CA",Inglewood,California,CA,105575,06,36546,"Inglewood city, California",Inglewood city
"Irvine, CA",Irvine,California,CA,308160,06,36770,"Irvine city, California",Irvine city
"Jurupa Valley, CA",Jurupa Valley,California,CA,106244,06,37692,"Jurupa Valley city, California",Jurupa Valley city
"La Cañada Flintridge, CA",La Cañada Flintridge,California,CA,20094,06,39003,"La Cañada Flintridge city, California",La Cañada Flintridge city
"Ladera Ranch, CA",Ladera Ranch,California,CA,23609,06,39114,"Ladera Ranch CDP, California",Ladera Ranch CDP
"Lafayette, CA",Lafayette,California,CA,25277,06,39122,"Lafayette city, California",Lafayette city
"Laguna Beach, CA",Laguna Beach,California,CA,22777,06,39178,"Laguna Beach city, California",Laguna Beach city
"Laguna Hills, CA",Laguna Hills,California,CA,30921,06,39220,"Laguna Hills city, California",Laguna Hills city
"Laguna Niguel, CA",Laguna Niguel,California,CA,64023,06,39248,"Laguna Niguel city, California",Laguna Niguel city
"La Habra, CA",La Habra,California,CA,62233,06,39290,"La Habra city, California",La Habra city
"Lake Elsinore, CA",Lake Elsinore,California,CA,71516,06,39486,"Lake Elsinore city, California",Lake Elsinore city
"Lake Forest, CA",Lake Forest,California,CA,85846,06,39496,"Lake Forest city, California",Lake Forest city
"Lakeside (San Diego County), CA",Lakeside (San Diego County),California,CA,21788,06,39766,"Lakeside CDP (San Diego County), California",Lakeside CDP (San Diego County)
"Lakewood, CA",Lakewood,California,CA,80510,06,39892,"Lakewood city, California",Lakewood city
"La Mesa, CA",La Mesa,California,CA,60835,06,40004,"La Mesa city, California",La Mesa city
"La Mirada, CA",La Mirada,California,CA,46945,06,40032,"La Mirada city, California",La Mirada city
"Lancaster, CA",Lancaster,California,CA,170013,06,40130,"Lancaster city, California",Lancaster city
"La Presa, CA",La Presa,California,CA,36669,06,40326,"La Presa CDP, California",La Presa CDP
"La Puente, CA",La Puente,California,CA,37404,06,40340,"La Puente city, California",La Puente city
"La Quinta, CA",La Quinta,California,CA,38299,06,40354,"La Quinta city, California",La Quinta city
"Lathrop, CA",Lathrop,California,CA,32696,06,40704,"Lathrop city, California",Lathrop city
"La Verne, CA",La Verne,California,CA,30804,06,40830,"La Verne city, California",La Verne city
"Lawndale, CA",Lawndale,California,CA,31113,06,40886,"Lawndale city, California",Lawndale city
"Lemon Grove, CA",Lemon Grove,California,CA,27489,06,41124,"Lemon Grove city, California",Lemon Grove city
"Lemoore, CA",Lemoore,California,CA,27023,06,41152,"Lemoore city, California",Lemoore city
"Lennox, CA",Lennox,California,CA,20289,06,41180,"Lennox CDP, California",Lennox CDP
"Lincoln, CA",Lincoln,California,CA,51629,06,41474,"Lincoln city, California",Lincoln city
"Linda, CA",Linda,California,CA,23215,06,41572,"Linda CDP, California",Linda CDP
"Livermore, CA",Livermore,California,CA,85870,06,41992,"Livermore city, California",Livermore city
"Lodi, CA",Lodi,California,CA,67008,06,42202,"Lodi city, California",Lodi city
"Loma Linda, CA",Loma Linda,California,CA,25021,06,42370,"Loma Linda city, California",Loma Linda city
"Lomita, CA",Lomita,California,CA,20409,06,42468,"Lomita city, California",Lomita city
"Lompoc, CA",Lompoc,California,CA,43819,06,42524,"Lompoc city, California",Lompoc city
"Long Beach, CA",Long Beach,California,CA,458491,06,43000,"Long Beach city, California",Long Beach city
"Los Altos, CA",Los Altos,California,CA,30736,06,43280,"Los Altos city, California",Los Altos city
"Los Angeles, CA",Los Angeles,California,CA,3857897,06,44000,"Los Angeles city, California",Los Angeles city
"Los Banos, CA",Los Banos,California,CA,46776,06,44028,"Los Banos city, California",Los Banos city
"Los Gatos, CA",Los Gatos,California,CA,32773,06,44112,"Los Gatos town, California",Los Gatos town
"Lynwood, CA",Lynwood,California,CA,65291,06,44574,"Lynwood city, California",Lynwood city
"Madera, CA",Madera,California,CA,67133,06,45022,"Madera city, California",Madera city
"Manhattan Beach, CA",Manhattan Beach,California,CA,34584,06,45400,"Manhattan Beach city, California",Manhattan Beach city
"Manteca, CA",Manteca,California,CA,86521,06,45484,"Manteca city, California",Manteca city
"Marina, CA",Marina,California,CA,22324,06,45778,"Marina city, California",Marina city
"Martinez, CA",Martinez,California,CA,36926,06,46114,"Martinez city, California",Martinez city
"Maywood, CA",Maywood,California,CA,24593,06,46492,"Maywood city, California",Maywood city
"Menifee, CA",Menifee,California,CA,107020,06,46842,"Menifee city, California",Menifee city
"Menlo Park, CA",Menlo Park,California,CA,32775,06,46870,"Menlo Park city, California",Menlo Park city
"Merced, CA",Merced,California,CA,89766,06,46898,"Merced city, California",Merced city
"Millbrae, CA",Millbrae,California,CA,22589,06,47486,"Millbrae city, California",Millbrae city
"Milpitas, CA",Milpitas,California,CA,78216,06,47766,"Milpitas city, California",Milpitas city
"Mission Viejo, CA",Mission Viejo,California,CA,92415,06,48256,"Mission Viejo city, California",Mission Viejo city
"Modesto, CA",Modesto,California,CA,218614,06,48354,"Modesto city, California",Modesto city
